capsule_id,capsule_path,discipline,risk,detections_total,sweep_denominator,sweep_denominator_lines,claims_registered,unresolved,coverage_pct
capsule:eisa_ii:farmacoterapia_convulsoes_mecanismo_escolha,capsules/EISA_II/farmacoterapia_convulsoes_mecanismo_escolha.md,EISA_II,high,49,15,11,0,15,0.0
capsule:eisa_ii:farmacoterapia_diabetes_i_nao_secretagogos,capsules/EISA_II/farmacoterapia_diabetes_i_nao_secretagogos.md,EISA_II,high,77,38,25,0,38,0.0
capsule:eisa_ii:farmacoterapia_diabetes_ii_secretagogos,capsules/EISA_II/farmacoterapia_diabetes_ii_secretagogos.md,EISA_II,high,63,22,19,0,22,0.0
capsule:eisa_ii:glaucoma_e_catarata,capsules/EISA_II/glaucoma_e_catarata.md,EISA_II,high,43,12,11,0,12,0.0
capsule:eisa_ii:glomerulopatias_primarias,capsules/EISA_II/glomerulopatias_primarias.md,EISA_II,high,40,17,12,0,17,0.0
capsule:eisa_ii:glomerulopatias_secundarias,capsules/EISA_II/glomerulopatias_secundarias.md,EISA_II,high,51,12,8,0,12,0.0
capsule:eisa_ii:has_nefrogena_renovascular,capsules/EISA_II/has_nefrogena_renovascular.md,EISA_II,high,60,22,16,0,22,0.0
capsule:eisa_ii:hiperaldosteronismo_primario_feocromocitoma,capsules/EISA_II/hiperaldosteronismo_primario_feocromocitoma.md,EISA_II,high,69,30,23,0,30,0.0
capsule:eisa_ii:hiperandrogenismo_hac_sop_tumor_virilizante,capsules/EISA_II/hiperandrogenismo_hac_sop_tumor_virilizante.md,EISA_II,high,41,11,10,0,11,0.0
capsule:eisa_ii:hiperfuncao_hipofisaria,capsules/EISA_II/hiperfuncao_hipofisaria.md,EISA_II,medium,52,24,17,0,24,0.0
capsule:eisa_ii:hiperplasia_adrenal_congenita,capsules/EISA_II/hiperplasia_adrenal_congenita.md,EISA_II,high,30,5,5,0,5,0.0
capsule:eisa_ii:hiperplasia_prostatica_benigna_clinica_e_tratamento,capsules/EISA_II/hiperplasia_prostatica_benigna_clinica_e_tratamento.md,EISA_II,high,63,40,25,0,40,0.0
capsule:eisa_ii:hipertensao_intracraniana,capsules/EISA_II/hipertensao_intracraniana.md,EISA_II,high,31,16,12,0,16,0.0
capsule:eisa_ii:hipertireoidismo_tireotoxicose,capsules/EISA_II/hipertireoidismo_tireotoxicose.md,EISA_II,high,15,4,4,0,4,0.0
capsule:eisa_ii:hipoparatireoidismo_e_hipocalcemia,capsules/EISA_II/hipoparatireoidismo_e_hipocalcemia.md,EISA_II,high,62,13,13,0,13,0.0
capsule:eisa_ii:hipopituitarismo,capsules/EISA_II/hipopituitarismo.md,EISA_II,high,65,29,17,0,29,0.0
capsule:eisa_ii:hipotireoidismo,capsules/EISA_II/hipotireoidismo.md,EISA_II,high,87,42,31,0,42,0.0
capsule:eisa_ii:infeccoes_sexualmente_transmissiveis,capsules/EISA_II/infeccoes_sexualmente_transmissiveis.md,EISA_II,high,83,28,16,0,28,0.0
capsule:eisa_ii:insulinoterapia_classificacao_farmacocinetica,capsules/EISA_II/insulinoterapia_classificacao_farmacocinetica.md,EISA_II,high,16,4,4,0,4,0.0
capsule:eisa_ii:insulinoterapia_no_dm1_e_dm2,capsules/EISA_II/insulinoterapia_no_dm1_e_dm2.md,EISA_II,high,81,38,29,0,38,0.0
capsule:eisa_ii:lesao_renal_aguda_lra,capsules/EISA_II/lesao_renal_aguda_lra.md,EISA_II,high,61,27,16,0,27,0.0
capsule:eisa_ii:linfedema,capsules/EISA_II/linfedema.md,EISA_II,low,8,0,0,0,0,100.0
capsule:eisa_ii:litiase_urinaria,capsules/EISA_II/litiase_urinaria.md,EISA_II,high,60,22,15,0,22,0.0
capsule:eisa_ii:manejo_clinico_ambulatorial_do_dm,capsules/EISA_II/manejo_clinico_ambulatorial_do_dm.md,EISA_II,medium,64,26,19,0,26,0.0
capsule:eisa_ii:nefropatia_diabetica,capsules/EISA_II/nefropatia_diabetica.md,EISA_II,high,91,51,29,0,51,0.0
capsule:eisa_ii:neoplasia_vesical,capsules/EISA_II/neoplasia_vesical.md,EISA_II,high,78,26,23,0,26,0.0
capsule:eisa_ii:neuroftalmologia,capsules/EISA_II/neuroftalmologia.md,EISA_II,high,54,26,18,0,26,0.0
capsule:eisa_ii:neuroinfeccoes,capsules/EISA_II/neuroinfeccoes.md,EISA_II,high,57,26,18,0,26,0.0
capsule:eisa_ii:nodulos_tireoidianos_e_cancer_de_tireoide,capsules/EISA_II/nodulos_tireoidianos_e_cancer_de_tireoide.md,EISA_II,medium,64,19,18,0,19,0.0
capsule:eisa_ii:obesidade_e_sindrome_metabolica,capsules/EISA_II/obesidade_e_sindrome_metabolica.md,EISA_II,medium,66,33,23,0,33,0.0
capsule:eisa_ii:otites_aguda_cronica_externa,capsules/EISA_II/otites_aguda_cronica_externa.md,EISA_II,high,37,14,11,0,14,0.0
capsule:eisa_ii:patologia_cancer_de_tireoide,capsules/EISA_II/patologia_cancer_de_tireoide.md,EISA_II,medium,7,1,1,0,1,0.0
capsule:eisa_ii:patologias_penianas_e_escrotais,capsules/EISA_II/patologias_penianas_e_escrotais.md,EISA_II,high,46,19,14,0,19,0.0
capsule:eisa_ii:pe_diabetico,capsules/EISA_II/pe_diabetico.md,EISA_II,high,51,15,13,0,15,0.0
capsule:eisa_ii:sarcoma_de_partes_moles,capsules/EISA_II/sarcoma_de_partes_moles.md,EISA_II,medium,24,12,9,0,12,0.0
capsule:eisa_ii:surdez_e_vertigem,capsules/EISA_II/surdez_e_vertigem.md,EISA_II,medium,17,1,1,0,1,0.0
capsule:eisa_ii:terapia_renal_substitutiva,capsules/EISA_II/terapia_renal_substitutiva.md,EISA_II,high,41,15,15,0,15,0.0
capsule:eisa_ii:trauma_urogenital,capsules/EISA_II/trauma_urogenital.md,EISA_II,high,70,8,8,0,8,0.0
capsule:eisa_ii:traumatismo_cranioencefalico,capsules/EISA_II/traumatismo_cranioencefalico.md,EISA_II,high,41,20,17,0,20,0.0
capsule:eisa_ii:tumores_do_sistema_nervoso_central,capsules/EISA_II/tumores_do_sistema_nervoso_central.md,EISA_II,medium,40,1,1,0,1,0.0
capsule:eisa_ii:tumores_renais_e_carcinoma_de_celulas_renais,capsules/EISA_II/tumores_renais_e_carcinoma_de_celulas_renais.md,EISA_II,medium,56,22,21,0,22,0.0
capsule:eisa_ii:urologia_feminina_infeccao_urinaria_e_incontinencia,capsules/EISA_II/urologia_feminina_infeccao_urinaria_e_incontinencia.md,EISA_II,high,81,24,20,0,24,0.0
capsule:eisca:adolescencia_puberdade_e_semiologia_do_adolescente,capsules/EISCA/adolescencia_puberdade_e_semiologia_do_adolescente.md,EISCA,low,56,16,12,0,16,0.0
capsule:eisca:aleitamento_materno,capsules/EISCA/aleitamento_materno.md,EISCA,high,56,19,16,3,17,10.53
capsule:eisca:anemia_ferropriva,capsules/EISCA/anemia_ferropriva.md,EISCA,high,94,42,24,0,42,0.0
capsule:eisca:asma_em_pediatria,capsules/EISCA/asma_em_pediatria.md,EISCA,high,60,26,24,6,15,42.31
capsule:eisca:assistencia_rn_sala_parto_reanimacao_neonatal,capsules/EISCA/assistencia_rn_sala_parto_reanimacao_neonatal.md,EISCA,high,76,25,21,4,4,84.0
capsule:eisca:atopias_na_infancia,capsules/EISCA/atopias_na_infancia.md,EISCA,high,95,47,41,0,47,0.0
capsule:eisca:bronquiolite_viral_aguda,capsules/EISCA/bronquiolite_viral_aguda.md,EISCA,high,86,33,27,0,33,0.0
capsule:eisca:cardiopatias_congenitas,capsules/EISCA/cardiopatias_congenitas.md,EISCA,high,41,16,12,0,16,0.0
