rank,capsule_id,capsule_path,discipline,risk,tier_A_unresolved,tier_A_total,claims_already_registered
72,capsule:eisca:obstrucao_via_aerea_alta_crupe_epiglotite,capsules/EISCA/obstrucao_via_aerea_alta_crupe_epiglotite.md,EISCA,high,13,13,0
73,capsule:eism:ansioliticos_e_hipnoticos,capsules/EISM/ansioliticos_e_hipnoticos.md,EISM,high,13,13,0
74,capsule:eism:antipsicoticos_sep_e_snm,capsules/EISM/antipsicoticos_sep_e_snm.md,EISM,high,13,13,3
75,capsule:casos_clinicos:cefaleias_classificacao_sinais_alarme,capsules/CASOS_CLINICOS/cefaleias_classificacao_sinais_alarme.md,CASOS_CLINICOS,high,12,12,0
76,capsule:eisa_ii:cefaleias_primarias_e_secundarias,capsules/EISA_II/cefaleias_primarias_e_secundarias.md,EISA_II,high,12,12,0
77,capsule:eisa_ii:diagnostico_sindromico_em_nefrologia,capsules/EISA_II/diagnostico_sindromico_em_nefrologia.md,EISA_II,medium,12,12,0
78,capsule:eisca:tumor_de_wilms,capsules/EISCA/tumor_de_wilms.md,EISCA,medium,12,12,0
79,capsule:eism:toc,capsules/EISM/toc.md,EISM,medium,12,12,0
80,capsule:eism:transtorno_bipolar_e_estabilizadores_do_humor,capsules/EISM/transtorno_bipolar_e_estabilizadores_do_humor.md,EISM,high,12,18,4
81,capsule:casos_clinicos:ganho_de_peso_obesidade_e_sindrome_metabolica,capsules/CASOS_CLINICOS/ganho_de_peso_obesidade_e_sindrome_metabolica.md,CASOS_CLINICOS,medium,11,11,0
82,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,capsules/EISA_II/avc_isquemico_urgencia_trombolise_e_trombectomia.md,EISA_II,high,11,23,5
83,capsule:eisa_ii:diabetes_mellitus_gestacional,capsules/EISA_II/diabetes_mellitus_gestacional.md,EISA_II,high,11,11,0
84,capsule:eisa_ii:doencas_neuromusculares,capsules/EISA_II/doencas_neuromusculares.md,EISA_II,high,11,11,0
85,capsule:eisa_ii:glaucoma_e_catarata,capsules/EISA_II/glaucoma_e_catarata.md,EISA_II,high,11,11,0
86,capsule:eisa_ii:glomerulopatias_secundarias,capsules/EISA_II/glomerulopatias_secundarias.md,EISA_II,high,11,11,0
87,capsule:eisa_ii:pe_diabetico,capsules/EISA_II/pe_diabetico.md,EISA_II,high,11,11,0
88,capsule:eisa_ii:sarcoma_de_partes_moles,capsules/EISA_II/sarcoma_de_partes_moles.md,EISA_II,medium,11,11,0
89,capsule:eisca:obesidade_na_infancia_e_adolescencia,capsules/EISCA/obesidade_na_infancia_e_adolescencia.md,EISCA,medium,11,11,0
90,capsule:eisa_ii:terapia_renal_substitutiva,capsules/EISA_II/terapia_renal_substitutiva.md,EISA_II,high,10,10,0
91,capsule:eisca:adolescencia_puberdade_e_semiologia_do_adolescente,capsules/EISCA/adolescencia_puberdade_e_semiologia_do_adolescente.md,EISCA,low,10,10,0
92,capsule:eisca:asma_em_pediatria,capsules/EISCA/asma_em_pediatria.md,EISCA,high,10,21,6
93,capsule:eism:delirium,capsules/EISM/delirium.md,EISM,high,10,10,0
94,capsule:eism:farmacoterapia_da_insonia,capsules/EISM/farmacoterapia_da_insonia.md,EISM,medium,10,10,0
95,capsule:eism:tept_e_tea,capsules/EISM/tept_e_tea.md,EISM,medium,10,10,0
96,capsule:eisa_ii:anticonvulsivantes_gestacao,capsules/EISA_II/anticonvulsivantes_gestacao.md,EISA_II,high,9,9,0
97,capsule:eisa_ii:bexiga_neurogenica,capsules/EISA_II/bexiga_neurogenica.md,EISA_II,high,9,9,0
98,capsule:eisa_ii:has_nefrogena_renovascular,capsules/EISA_II/has_nefrogena_renovascular.md,EISA_II,high,9,9,0
99,capsule:eisa_ii:litiase_urinaria,capsules/EISA_II/litiase_urinaria.md,EISA_II,high,9,9,0
100,capsule:eisa_ii:otites_aguda_cronica_externa,capsules/EISA_II/otites_aguda_cronica_externa.md,EISA_II,high,9,9,0
101,capsule:eism:abstinencia_alcoolica_delirium_tremens_wernicke,capsules/EISM/abstinencia_alcoolica_delirium_tremens_wernicke.md,EISM,high,9,12,3
102,capsule:eism:risco_de_suicidio,capsules/EISM/risco_de_suicidio.md,EISM,high,9,9,0
103,capsule:eism:transtornos_de_ansiedade,capsules/EISM/transtornos_de_ansiedade.md,EISM,medium,9,9,0
104,capsule:casos_clinicos:tireoidopatias_hipotireoidismo_nodulo_e_paaf,capsules/CASOS_CLINICOS/tireoidopatias_hipotireoidismo_nodulo_e_paaf.md,CASOS_CLINICOS,medium,8,8,0
105,capsule:eisa_ii:cancer_de_testiculo,capsules/EISA_II/cancer_de_testiculo.md,EISA_II,high,8,8,0
106,capsule:eisa_ii:demencias,capsules/EISA_II/demencias.md,EISA_II,medium,8,8,0
107,capsule:eisa_ii:esclerose_multipla_e_doencas_desmielinizantes,capsules/EISA_II/esclerose_multipla_e_doencas_desmielinizantes.md,EISA_II,medium,8,8,0
108,capsule:eisa_ii:coma_e_rebaixamento_do_nivel_de_consciencia,capsules/EISA_II/coma_e_rebaixamento_do_nivel_de_consciencia.md,EISA_II,high,7,7,1
109,capsule:eisca:cardiopatias_congenitas,capsules/EISCA/cardiopatias_congenitas.md,EISCA,high,7,7,0
110,capsule:eisca:doencas_exantematicas,capsules/EISCA/doencas_exantematicas.md,EISCA,high,7,7,0
111,capsule:eism:esquizofrenia_e_transtornos_psicoticos,capsules/EISM/esquizofrenia_e_transtornos_psicoticos.md,EISM,high,7,7,0
112,capsule:casos_clinicos:fraqueza_muscular_miastenia_polimiosite,capsules/CASOS_CLINICOS/fraqueza_muscular_miastenia_polimiosite.md,CASOS_CLINICOS,medium,6,6,0
113,capsule:eisa_ii:doencas_oculares_em_endocrinologia_oftalmopatia_de_graves_e_retinopatia_diabetica,capsules/EISA_II/doencas_oculares_em_endocrinologia_oftalmopatia_de_graves_e_retinopatia_diabetica.md,EISA_II,high,6,6,0
114,capsule:eisca:diagnostico_diferencial_das_anemias_na_infancia,capsules/EISCA/diagnostico_diferencial_das_anemias_na_infancia.md,EISCA,medium,6,6,0
115,capsule:eisca:interpretacao_hemograma_e_coagulacao,capsules/EISCA/interpretacao_hemograma_e_coagulacao.md,EISCA,medium,6,6,0
116,capsule:eisca:saude_ocular_na_infancia,capsules/EISCA/saude_ocular_na_infancia.md,EISCA,high,6,6,0
117,capsule:eism:transtornos_alimentares,capsules/EISM/transtornos_alimentares.md,EISM,high,6,6,0
118,capsule:eism:transtornos_mentais_na_gravidez_e_puerperio,capsules/EISM/transtornos_mentais_na_gravidez_e_puerperio.md,EISM,high,6,6,0
119,capsule:eism:transtornos_por_uso_de_substancias,capsules/EISM/transtornos_por_uso_de_substancias.md,EISM,high,6,6,0
120,capsule:osce:osce_banco_de_estacoes,capsules/OSCE/osce_banco_de_estacoes.md,OSCE,high,6,6,0
121,capsule:eisa_ii:avc_isquemico_investigacao_etiologica_e_prevencao_secundaria,capsules/EISA_II/avc_isquemico_investigacao_etiologica_e_prevencao_secundaria.md,EISA_II,high,5,5,0
122,capsule:eisca:neuroblastoma,capsules/EISCA/neuroblastoma.md,EISCA,medium,5,5,0
123,capsule:eism:sexualidade_humana_e_disfuncoes_sexuais,capsules/EISM/sexualidade_humana_e_disfuncoes_sexuais.md,EISM,low,5,5,0
124,capsule:casos_clinicos:formato_avaliacao_discussao_casos_clinicos,capsules/CASOS_CLINICOS/formato_avaliacao_discussao_casos_clinicos.md,CASOS_CLINICOS,low,4,4,0
